timestamp,interface,id,data
1747284848.205517,can0,002,01 AE FB D4 F8 66 00 00
1747284848.210797,can0,012,73
1747284848.23413,can0,012,7A
1747284848.257395,can0,012,6E
1747284848.260919,can0,002,01 AE FB D4 F8 66 00 00
1747284848.2807,can0,012,76
1747284848.301311,can0,002,01 AE FB D4 F8 66 00 00
1747284848.304046,can0,012,7C
1747284848.327399,can0,012,7F
1747284848.339802,can0,002,01 AD FB D4 F8 66 00 00
1747284848.350661,can0,012,6E
1747284848.373329,can0,002,01 AD FB D4 F8 66 00 00
1747284848.374025,can0,012,7E
1747284848.397359,can0,012,7B
1747284848.406892,can0,002,01 AD FB D4 F8 67 00 00
1747284848.420698,can0,012,7B
1747284848.44041,can0,002,01 AE FB D4 F8 67 00 00
1747284848.44396,can0,012,6E
1747284848.467299,can0,012,7A
1747284848.473943,can0,002,01 AE FB D4 F8 66 00 00
1747284848.490626,can0,012,7B
1747284848.507525,can0,002,01 AE FB D4 F8 66 00 00
1747284848.513919,can0,012,73
1747284848.537183,can0,012,6F
1747284848.541051,can0,002,01 AD FB D4 F8 66 00 00
1747284848.560582,can0,012,83
1747284848.574661,can0,002,01 AD FB D4 F8 66 00 00
1747284848.583825,can0,012,6E
1747284848.607134,can0,012,76
1747284848.608302,can0,002,01 AE FB D4 F8 66 00 00
1747284848.630472,can0,012,7C
1747284848.641848,can0,002,01 AD FB D4 F8 66 00 00
1747284848.653859,can0,012,83
1747284848.675404,can0,002,01 AD FB D4 F8 66 00 00
1747284848.677151,can0,012,72
1747284848.700537,can0,012,83
1747284848.709015,can0,002,01 AD FB D4 F8 66 00 00
1747284848.723822,can0,012,73
1747284848.742556,can0,002,01 AD FB D4 F8 66 00 00
1747284848.747215,can0,012,84
1747284848.770497,can0,012,72
1747284848.776095,can0,002,01 AD FB D4 F8 66 00 00
1747284848.793877,can0,012,83
1747284848.810644,can0,002,01 AD FB D4 F8 67 00 00
1747284848.817212,can0,012,7B
1747284848.840527,can0,012,77
1747284848.844173,can0,002,01 AD FB D4 F8 66 00 00
1747284848.863805,can0,012,6F
1747284848.877818,can0,002,01 AD FB D4 F8 66 00 00
1747284848.887157,can0,012,7F
1747284848.910413,can0,012,6E
1747284848.911454,can0,002,01 AD FB D4 F8 66 00 00
1747284848.933745,can0,012,7A
1747284848.945007,can0,002,01 AD FB D4 F8 67 00 00
1747284848.957113,can0,012,80
1747284848.978607,can0,002,01 AD FB D4 F8 67 00 00
1747284848.980412,can0,012,76
1747284849.00378,can0,012,7F
1747284849.01231,can0,002,01 AE FB D4 F8 67 00 00
1747284849.027057,can0,012,72
1747284849.045842,can0,002,01 AD FB D4 F8 67 00 00
1747284849.050369,can0,012,77
1747284849.073649,can0,012,73
1747284849.079392,can0,002,01 AD FB D4 F8 67 00 00
1747284849.096958,can0,012,76
1747284849.112974,can0,002,01 AD FB D4 F8 67 00 00
1747284849.120298,can0,012,7B
1747284849.143582,can0,012,72
1747284849.146519,can0,002,01 AD FB D4 F8 67 00 00
1747284849.166904,can0,012,7B
1747284849.180051,can0,002,01 AD FB D4 F8 66 00 00
1747284849.190201,can0,012,72
1747284849.213508,can0,012,76
1747284849.219893,can0,002,01 AD FB D4 F8 66 00 00
1747284849.236866,can0,012,7F
1747284849.26016,can0,012,73
1747284849.280993,can0,002,01 AD FB D4 F8 65 00 00
1747284849.283519,can0,012,7F
1747284849.306824,can0,012,76
1747284849.315588,can0,002,01 AD FB D4 F8 65 00 00
1747284849.330111,can0,012,72
1747284849.3534,can0,012,73
1747284849.35988,can0,002,01 AD FB D4 F8 65 00 00
1747284849.376706,can0,012,77
1747284849.399858,can0,002,01 AD FB D3 F8 65 00 00
1747284849.400018,can0,012,76
1747284849.423329,can0,012,76
1747284849.433389,can0,002,01 AD FB D3 F8 65 00 00
1747284849.446645,can0,012,76
1747284849.466919,can0,002,01 AD FB D3 F8 65 00 00
1747284849.469956,can0,012,77
1747284849.493267,can0,012,76
1747284849.500491,can0,002,01 AD FB D3 F8 65 00 00
1747284849.516555,can0,012,72
1747284849.534018,can0,002,01 AD FB D3 F8 65 00 00
1747284849.539831,can0,012,72
1747284849.563176,can0,012,7B
1747284849.567567,can0,002,01 AD FB D3 F8 65 00 00
1747284849.586449,can0,012,72
1747284849.60114,can0,002,01 AD FB D3 F8 66 00 00
1747284849.609787,can0,012,7A
1747284849.633145,can0,012,7F
1747284849.634666,can0,002,01 AD FB D3 F8 65 00 00
1747284849.656435,can0,012,73
1747284849.668211,can0,002,01 AD FB D3 F8 65 00 00
1747284849.679723,can0,012,73
1747284849.701756,can0,002,01 AD FB D3 F8 65 00 00
1747284849.703062,can0,012,7A
1747284849.726346,can0,012,72
1747284849.735315,can0,002,01 AD FB D3 F8 64 00 00
1747284849.74963,can0,012,73
1747284849.76886,can0,002,01 AD FB D3 F8 64 00 00
1747284849.772932,can0,012,77
